CUnm CUid Byr Sp Rec_total Rec_Age3 Rec_Age4 MS_Age3 MS_Age4 ER_Age3 ER_Age4
North_Thompson 4 2001 27238 11005 10761 244 0.012 0.008 0.131 0.13
North_Thompson 4 2002 22083 4706 4400 306 0.008 0.003 0.13 0.094
North_Thompson 4 2003 7211 6686 3546 3140 0.003 0.012 0.094 0.112
North_Thompson 4 2004 10661 24541 24074 467 0.012 0.006 0.112 0.098
North_Thompson 4 2005 4518 4882 3448 1434 0.006 0.011 0.098 0.115
North_Thompson 4 2006 3670 9039 8965 74 0.011 0.01 0.115 0.104
North_Thompson 4 2007 24500 13806 13075 731 0.01 0.014 0.104 0.126
North_Thompson 4 2008 3849 9629 8886 743 0.014 0.013 0.126 0.112
North_Thompson 4 2009 9631 22724 21160 1564 0.013 0.01 0.112 0.162
North_Thompson 4 2010 12159 18107 17267 840 0.01 0.021 0.162 0.318
North_Thompson 4 2011 8803 7638 6873 765 0.021 0.008 0.318 0.178
North_Thompson 4 2012 20058 5744 3136 2608 0.008 0.014 0.178 0.073
North_Thompson 4 2013 16271 16503 15549 954 0.014 0.011 0.073 0.097
North_Thompson 4 2014 5244 16362 12213 4149 0.011 0.02 0.097 0.15
South_Thompson 5 1998 5155 12438 11909 529 0.041 0.034 0.071 0.078
South_Thompson 5 1999 3137 10494 10227 267 0.034 0.013 0.078 0.129
South_Thompson 5 2000 3307 4110 3241 869 0.013 0.012 0.129 0.131
South_Thompson 5 2001 13063 17091 16733 358 0.012 0.008 0.131 0.13
South_Thompson 5 2002 10544 2406 2233 173 0.008 0.003 0.13 0.094
South_Thompson 5 2003 3422 2473 2003 470 0.003 0.012 0.094 0.112
South_Thompson 5 2004 15850 13475 12850 625 0.012 0.006 0.112 0.098
South_Thompson 5 2005 2302 6951 6368 583 0.006 0.011 0.098 0.115
South_Thompson 5 2006 2003 4240 3643 597 0.011 0.01 0.115 0.104
South_Thompson 5 2007 12345 10021 9019 1002 0.01 0.014 0.104 0.126
South_Thompson 5 2008 6688 5368 3458 1910 0.014 0.013 0.126 0.112
South_Thompson 5 2009 3821 14232 12746 1486 0.013 0.01 0.112 0.162
South_Thompson 5 2010 8946 12755 12505 250 0.01 0.021 0.162 0.318
South_Thompson 5 2011 4771 2520 2048 472 0.021 0.008 0.318 0.178
South_Thompson 5 2012 13303 6048 1936 4112 0.008 0.014 0.178 0.073
South_Thompson 5 2013 13132 11909 10876 1033 0.014 0.011 0.073 0.097
South_Thompson 5 2014 2270 3634 1665 1969 0.011 0.02 0.097 0.15
