"BroodYear","Inlet_Name","Spawners","CU_Name","Inlet_ID","Recruits"
1971,"Quatsino",NA,"WCVI North",4,NA
1971,"Barkley",15450,"WCVI South",5,NA
1971,"Nitinat",1200,"WCVI South",6,NA
1971,"San Juan",400,"WCVI South",7,NA
1972,"Kyuquot",1450,"WCVI Nootka & Kyuquot",1,NA
1972,"Clayoquot",NA,"WCVI South",2,NA
1972,"Nootka/Esperanza",4320,"WCVI Nootka & Kyuquot",3,NA
1972,"Quatsino",NA,"WCVI North",4,NA
1972,"Barkley",10300,"WCVI South",5,NA
1972,"Nitinat",800,"WCVI South",6,NA
1972,"San Juan",3500,"WCVI South",7,NA
1973,"Kyuquot",3750,"WCVI Nootka & Kyuquot",1,NA
1973,"Clayoquot",NA,"WCVI South",2,NA
1973,"Nootka/Esperanza",6225,"WCVI Nootka & Kyuquot",3,NA
1973,"Quatsino",NA,"WCVI North",4,NA
1973,"Barkley",11825,"WCVI South",5,NA
1973,"Nitinat",850,"WCVI South",6,NA
1973,"San Juan",3500,"WCVI South",7,NA
1974,"Kyuquot",1900,"WCVI Nootka & Kyuquot",1,NA
1974,"Clayoquot",NA,"WCVI South",2,NA
1974,"Nootka/Esperanza",3975,"WCVI Nootka & Kyuquot",3,NA
1974,"Quatsino",NA,"WCVI North",4,NA
1974,"Barkley",13800,"WCVI South",5,NA
1974,"Nitinat",3000,"WCVI South",6,NA
1974,"San Juan",750,"WCVI South",7,NA
1975,"Kyuquot",125,"WCVI Nootka & Kyuquot",1,NA
1975,"Clayoquot",NA,"WCVI South",2,NA
1975,"Nootka/Esperanza",1150,"WCVI Nootka & Kyuquot",3,NA
1975,"Quatsino",NA,"WCVI North",4,NA
1975,"Barkley",16150,"WCVI South",5,NA
1975,"Nitinat",800,"WCVI South",6,NA
1975,"San Juan",200,"WCVI South",7,NA
1976,"Kyuquot",75,"WCVI Nootka & Kyuquot",1,NA
1976,"Clayoquot",NA,"WCVI South",2,NA
1976,"Nootka/Esperanza",1075,"WCVI Nootka & Kyuquot",3,NA
1976,"Quatsino",NA,"WCVI North",4,NA
1976,"Barkley",14025,"WCVI South",5,NA
1976,"Nitinat",650,"WCVI South",6,NA
1976,"San Juan",75,"WCVI South",7,NA
1977,"Kyuquot",235,"WCVI Nootka & Kyuquot",1,NA
1977,"Clayoquot",NA,"WCVI South",2,NA
1977,"Nootka/Esperanza",2940,"WCVI Nootka & Kyuquot",3,NA
1977,"Quatsino",NA,"WCVI North",4,NA
1977,"Barkley",13140,"WCVI South",5,NA
1977,"Nitinat",1000,"WCVI South",6,NA
1977,"San Juan",75,"WCVI South",7,NA
1978,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1,NA
1978,"Clayoquot",NA,"WCVI South",2,NA
1978,"Nootka/Esperanza",5360,"WCVI Nootka & Kyuquot",3,NA
1978,"Quatsino",NA,"WCVI North",4,NA
1978,"Barkley",9325,"WCVI South",5,NA
1978,"Nitinat",1200,"WCVI South",6,NA
1978,"San Juan",50,"WCVI South",7,NA
1979,"Kyuquot",300,"WCVI Nootka & Kyuquot",1,NA
1979,"Clayoquot",NA,"WCVI South",2,NA
1979,"Nootka/Esperanza",2221,"WCVI Nootka & Kyuquot",3,NA
1979,"Quatsino",NA,"WCVI North",4,NA
1979,"Barkley",10800,"WCVI South",5,NA
1979,"Nitinat",3500,"WCVI South",6,NA
1979,"San Juan",400,"WCVI South",7,NA
1980,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1,NA
1980,"Clayoquot",NA,"WCVI South",2,NA
1980,"Nootka/Esperanza",NA,"WCVI Nootka & Kyuquot",3,NA
1980,"Quatsino",NA,"WCVI North",4,NA
1980,"Barkley",4475,"WCVI South",5,NA
1980,"Nitinat",3000,"WCVI South",6,NA
1980,"San Juan",500,"WCVI South",7,NA
1981,"Kyuquot",1600,"WCVI Nootka & Kyuquot",1,NA
1981,"Clayoquot",NA,"WCVI South",2,NA
1981,"Nootka/Esperanza",NA,"WCVI Nootka & Kyuquot",3,NA
1981,"Quatsino",NA,"WCVI North",4,NA
1981,"Barkley",7910,"WCVI South",5,NA
1981,"Nitinat",1000,"WCVI South",6,NA
1981,"San Juan",750,"WCVI South",7,NA
1982,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1,NA
1982,"Clayoquot",NA,"WCVI South",2,NA
1982,"Nootka/Esperanza",NA,"WCVI Nootka & Kyuquot",3,NA
1982,"Quatsino",NA,"WCVI North",4,NA
1982,"Barkley",9044,"WCVI South",5,NA
1982,"Nitinat",2000,"WCVI South",6,NA
1982,"San Juan",775,"WCVI South",7,NA
1983,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1,NA
1983,"Clayoquot",NA,"WCVI South",2,NA
1983,"Nootka/Esperanza",2402,"WCVI Nootka & Kyuquot",3,NA
1983,"Quatsino",NA,"WCVI North",4,NA
1983,"Barkley",11227,"WCVI South",5,NA
1983,"Nitinat",1300,"WCVI South",6,NA
1983,"San Juan",775,"WCVI South",7,NA
1984,"Kyuquot",2550,"WCVI Nootka & Kyuquot",1,NA
1984,"Clayoquot",NA,"WCVI South",2,NA
1984,"Nootka/Esperanza",3145,"WCVI Nootka & Kyuquot",3,NA
1984,"Quatsino",NA,"WCVI North",4,NA
1984,"Barkley",6625,"WCVI South",5,NA
1984,"Nitinat",2200,"WCVI South",6,NA
1984,"San Juan",1200,"WCVI South",7,NA
1985,"Kyuquot",1900,"WCVI Nootka & Kyuquot",1,NA
1985,"Clayoquot",NA,"WCVI South",2,NA
1985,"Nootka/Esperanza",NA,"WCVI Nootka & Kyuquot",3,NA
1985,"Quatsino",NA,"WCVI North",4,NA
1985,"Barkley",74829,"WCVI South",5,NA
1985,"Nitinat",12000,"WCVI South",6,NA
1985,"San Juan",150,"WCVI South",7,NA
1986,"Kyuquot",1200,"WCVI Nootka & Kyuquot",1,NA
1986,"Clayoquot",NA,"WCVI South",2,NA
1986,"Nootka/Esperanza",NA,"WCVI Nootka & Kyuquot",3,NA
1986,"Quatsino",NA,"WCVI North",4,NA
1986,"Barkley",29956,"WCVI South",5,NA
1986,"Nitinat",8000,"WCVI South",6,NA
1986,"San Juan",487,"WCVI South",7,NA
1987,"Kyuquot",700,"WCVI Nootka & Kyuquot",1,NA
1987,"Clayoquot",NA,"WCVI South",2,NA
1987,"Nootka/Esperanza",1120,"WCVI Nootka & Kyuquot",3,NA
1987,"Quatsino",NA,"WCVI North",4,NA
1987,"Barkley",NA,"WCVI South",5,NA
1987,"Nitinat",2500,"WCVI South",6,NA
1987,"San Juan",600,"WCVI South",7,NA
1988,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1,NA
1988,"Clayoquot",NA,"WCVI South",2,NA
1988,"Nootka/Esperanza",4826,"WCVI Nootka & Kyuquot",3,NA
1988,"Quatsino",NA,"WCVI North",4,NA
1988,"Barkley",54655,"WCVI South",5,NA
1988,"Nitinat",21047,"WCVI South",6,NA
1988,"San Juan",1500,"WCVI South",7,NA
1989,"Kyuquot",520,"WCVI Nootka & Kyuquot",1,NA
1989,"Clayoquot",NA,"WCVI South",2,NA
1989,"Nootka/Esperanza",9925,"WCVI Nootka & Kyuquot",3,NA
1989,"Quatsino",NA,"WCVI North",4,NA
1989,"Barkley",45686,"WCVI South",5,NA
1989,"Nitinat",17000,"WCVI South",6,NA
1989,"San Juan",300,"WCVI South",7,NA
1990,"Kyuquot",260,"WCVI Nootka & Kyuquot",1,NA
1990,"Clayoquot",NA,"WCVI South",2,NA
1990,"Nootka/Esperanza",14584,"WCVI Nootka & Kyuquot",3,NA
1990,"Quatsino",NA,"WCVI North",4,NA
1990,"Barkley",76844,"WCVI South",5,NA
1990,"Nitinat",19000,"WCVI South",6,NA
1990,"San Juan",500,"WCVI South",7,NA
1991,"Kyuquot",160,"WCVI Nootka & Kyuquot",1,NA
1991,"Clayoquot",NA,"WCVI South",2,NA
1991,"Nootka/Esperanza",20400,"WCVI Nootka & Kyuquot",3,NA
1991,"Quatsino",NA,"WCVI North",4,NA
1991,"Barkley",87515,"WCVI South",5,NA
1991,"Nitinat",12000,"WCVI South",6,NA
1991,"San Juan",450,"WCVI South",7,NA
1992,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1,NA
1992,"Clayoquot",NA,"WCVI South",2,NA
1992,"Nootka/Esperanza",28800,"WCVI Nootka & Kyuquot",3,NA
1992,"Quatsino",NA,"WCVI North",4,NA
1992,"Barkley",118149,"WCVI South",5,NA
1992,"Nitinat",30000,"WCVI South",6,NA
1992,"San Juan",500,"WCVI South",7,NA
1993,"Kyuquot",280,"WCVI Nootka & Kyuquot",1,NA
1993,"Clayoquot",NA,"WCVI South",2,NA
1993,"Nootka/Esperanza",16300,"WCVI Nootka & Kyuquot",3,NA
1993,"Quatsino",NA,"WCVI North",4,NA
1993,"Barkley",77769,"WCVI South",5,NA
1993,"Nitinat",25000,"WCVI South",6,NA
1993,"San Juan",1300,"WCVI South",7,NA
1994,"Kyuquot",500,"WCVI Nootka & Kyuquot",1,NA
1994,"Clayoquot",NA,"WCVI South",2,NA
1994,"Nootka/Esperanza",26450,"WCVI Nootka & Kyuquot",3,NA
1994,"Quatsino",NA,"WCVI North",4,NA
1994,"Barkley",47854,"WCVI South",5,NA
1994,"Nitinat",11000,"WCVI South",6,NA
1994,"San Juan",600,"WCVI South",7,NA
1995,"Kyuquot",956,"WCVI Nootka & Kyuquot",1,NA
1995,"Clayoquot",1153,"WCVI South",2,NA
1995,"Nootka/Esperanza",23987,"WCVI Nootka & Kyuquot",3,NA
1995,"Quatsino",1461,"WCVI North",4,NA
1995,"Barkley",23660,"WCVI South",5,NA
1995,"Nitinat",7535,"WCVI South",6,NA
1995,"San Juan",376,"WCVI South",7,NA
1996,"Kyuquot",560,"WCVI Nootka & Kyuquot",1,NA
1996,"Clayoquot",1585,"WCVI South",2,NA
1996,"Nootka/Esperanza",19615,"WCVI Nootka & Kyuquot",3,NA
1996,"Quatsino",3725,"WCVI North",4,NA
1996,"Barkley",10658,"WCVI South",5,NA
1996,"Nitinat",21843,"WCVI South",6,NA
1996,"San Juan",760,"WCVI South",7,NA
1997,"Kyuquot",1483,"WCVI Nootka & Kyuquot",1,NA
1997,"Clayoquot",1450,"WCVI South",2,NA
1997,"Nootka/Esperanza",25142,"WCVI Nootka & Kyuquot",3,NA
1997,"Quatsino",2460,"WCVI North",4,NA
1997,"Barkley",15306,"WCVI South",5,NA
1997,"Nitinat",28969,"WCVI South",6,NA
1997,"San Juan",827,"WCVI South",7,NA
1998,"Kyuquot",2554,"WCVI Nootka & Kyuquot",1,NA
1998,"Clayoquot",1631,"WCVI South",2,NA
1998,"Nootka/Esperanza",35717,"WCVI Nootka & Kyuquot",3,NA
1998,"Quatsino",4992,"WCVI North",4,NA
1998,"Barkley",48722,"WCVI South",5,NA
1998,"Nitinat",31654,"WCVI South",6,NA
1998,"San Juan",3840,"WCVI South",7,NA
1999,"Kyuquot",1871,"WCVI Nootka & Kyuquot",1,NA
1999,"Clayoquot",1384,"WCVI South",2,NA
1999,"Nootka/Esperanza",24555,"WCVI Nootka & Kyuquot",3,NA
1999,"Quatsino",4868,"WCVI North",4,NA
1999,"Barkley",18170,"WCVI South",5,NA
1999,"Nitinat",18183,"WCVI South",6,NA
1999,"San Juan",1054,"WCVI South",7,NA
2000,"Kyuquot",571,"WCVI Nootka & Kyuquot",1,NA
2000,"Clayoquot",2178,"WCVI South",2,NA
2000,"Nootka/Esperanza",10701,"WCVI Nootka & Kyuquot",3,NA
2000,"Quatsino",2812,"WCVI North",4,NA
2000,"Barkley",3786,"WCVI South",5,NA
2000,"Nitinat",6393,"WCVI South",6,NA
2000,"San Juan",250,"WCVI South",7,NA
2001,"Kyuquot",785,"WCVI Nootka & Kyuquot",1,NA
2001,"Clayoquot",NA,"WCVI South",2,NA
2001,"Nootka/Esperanza",16101,"WCVI Nootka & Kyuquot",3,NA
2001,"Quatsino",2021,"WCVI North",4,NA
2001,"Barkley",17855,"WCVI South",5,NA
2001,"Nitinat",11481,"WCVI South",6,NA
2001,"San Juan",357,"WCVI South",7,NA
2002,"Kyuquot",600,"WCVI Nootka & Kyuquot",1,NA
2002,"Clayoquot",395,"WCVI South",2,NA
2002,"Nootka/Esperanza",41096,"WCVI Nootka & Kyuquot",3,NA
2002,"Quatsino",2341,"WCVI North",4,NA
2002,"Barkley",28001,"WCVI South",5,NA
2002,"Nitinat",18204,"WCVI South",6,NA
2002,"San Juan",582,"WCVI South",7,NA
2003,"Kyuquot",1177,"WCVI Nootka & Kyuquot",1,NA
2003,"Clayoquot",2095,"WCVI South",2,NA
2003,"Nootka/Esperanza",49266,"WCVI Nootka & Kyuquot",3,NA
2003,"Quatsino",2154,"WCVI North",4,NA
2003,"Barkley",40256,"WCVI South",5,NA
2003,"Nitinat",25821,"WCVI South",6,NA
2003,"San Juan",1000,"WCVI South",7,NA
2004,"Kyuquot",1250,"WCVI Nootka & Kyuquot",1,NA
2004,"Clayoquot",1702,"WCVI South",2,NA
2004,"Nootka/Esperanza",48545,"WCVI Nootka & Kyuquot",3,NA
2004,"Quatsino",5027,"WCVI North",4,NA
2004,"Barkley",93295,"WCVI South",5,NA
2004,"Nitinat",18790,"WCVI South",6,NA
2004,"San Juan",3500,"WCVI South",7,NA
2005,"Kyuquot",808,"WCVI Nootka & Kyuquot",1,NA
2005,"Clayoquot",851,"WCVI South",2,NA
2005,"Nootka/Esperanza",7894,"WCVI Nootka & Kyuquot",3,NA
2005,"Quatsino",NA,"WCVI North",4,NA
2005,"Barkley",38802,"WCVI South",5,NA
2005,"Nitinat",12000,"WCVI South",6,NA
2005,"San Juan",900,"WCVI South",7,NA
2006,"Kyuquot",840,"WCVI Nootka & Kyuquot",1,NA
2006,"Clayoquot",720,"WCVI South",2,NA
2006,"Nootka/Esperanza",NA,"WCVI Nootka & Kyuquot",3,NA
2006,"Quatsino",3392,"WCVI North",4,NA
2006,"Barkley",66734,"WCVI South",5,NA
2006,"Nitinat",12580,"WCVI South",6,NA
2006,"San Juan",3712,"WCVI South",7,NA
2007,"Kyuquot",589,"WCVI Nootka & Kyuquot",1,NA
2007,"Clayoquot",419,"WCVI South",2,NA
2007,"Nootka/Esperanza",NA,"WCVI Nootka & Kyuquot",3,NA
2007,"Quatsino",2932,"WCVI North",4,NA
2007,"Barkley",20174,"WCVI South",5,NA
2007,"Nitinat",6500,"WCVI South",6,NA
2007,"San Juan",1500,"WCVI South",7,NA
2008,"Kyuquot",844,"WCVI Nootka & Kyuquot",1,NA
2008,"Clayoquot",457,"WCVI South",2,NA
2008,"Nootka/Esperanza",NA,"WCVI Nootka & Kyuquot",3,NA
2008,"Quatsino",2453,"WCVI North",4,NA
2008,"Barkley",29477,"WCVI South",5,NA
2008,"Nitinat",8849,"WCVI South",6,NA
2008,"San Juan",900,"WCVI South",7,NA
2009,"Kyuquot",844,"WCVI Nootka & Kyuquot",1,NA
2009,"Clayoquot",325,"WCVI South",2,NA
2009,"Nootka/Esperanza",NA,"WCVI Nootka & Kyuquot",3,NA
2009,"Quatsino",4070,"WCVI North",4,NA
2009,"Barkley",21623,"WCVI South",5,NA
2009,"Nitinat",5346,"WCVI South",6,NA
2009,"San Juan",2870,"WCVI South",7,NA
2010,"Kyuquot",650,"WCVI Nootka & Kyuquot",1,NA
2010,"Clayoquot",469,"WCVI South",2,NA
2010,"Nootka/Esperanza",NA,"WCVI Nootka & Kyuquot",3,NA
2010,"Quatsino",4080,"WCVI North",4,NA
2010,"Barkley",37157,"WCVI South",5,NA
2010,"Nitinat",4500,"WCVI South",6,NA
2010,"San Juan",832,"WCVI South",7,NA
2011,"Kyuquot",660,"WCVI Nootka & Kyuquot",1,NA
2011,"Clayoquot",421,"WCVI South",2,NA
2011,"Nootka/Esperanza",24935,"WCVI Nootka & Kyuquot",3,NA
2011,"Quatsino",4314,"WCVI North",4,NA
2011,"Barkley",28359,"WCVI South",5,NA
2011,"Nitinat",10000,"WCVI South",6,NA
2011,"San Juan",300,"WCVI South",7,NA
2012,"Kyuquot",502,"WCVI Nootka & Kyuquot",1,NA
2012,"Clayoquot",NA,"WCVI South",2,NA
2012,"Nootka/Esperanza",7466,"WCVI Nootka & Kyuquot",3,NA
2012,"Quatsino",2457,"WCVI North",4,NA
2012,"Barkley",16725,"WCVI South",5,NA
2012,"Nitinat",5000,"WCVI South",6,NA
2012,"San Juan",860,"WCVI South",7,NA
2013,"Kyuquot",989,"WCVI Nootka & Kyuquot",1,NA
2013,"Clayoquot",1346,"WCVI South",2,NA
2013,"Nootka/Esperanza",71812,"WCVI Nootka & Kyuquot",3,NA
2013,"Quatsino",2179,"WCVI North",4,NA
2013,"Barkley",30235,"WCVI South",5,NA
2013,"Nitinat",10000,"WCVI South",6,NA
2013,"San Juan",874,"WCVI South",7,NA
2014,"Kyuquot",936,"WCVI Nootka & Kyuquot",1,NA
2014,"Clayoquot",589,"WCVI South",2,NA
2014,"Nootka/Esperanza",20766,"WCVI Nootka & Kyuquot",3,NA
2014,"Quatsino",1533,"WCVI North",4,NA
2014,"Barkley",18661,"WCVI South",5,NA
2014,"Nitinat",9000,"WCVI South",6,NA
2014,"San Juan",4007,"WCVI South",7,NA
2015,"Kyuquot",2212,"WCVI Nootka & Kyuquot",1,NA
2015,"Clayoquot",NA,"WCVI South",2,NA
2015,"Nootka/Esperanza",46436,"WCVI Nootka & Kyuquot",3,NA
2015,"Quatsino",7102,"WCVI North",4,NA
2015,"Barkley",58624,"WCVI South",5,NA
2015,"Nitinat",20464,"WCVI South",6,NA
2015,"San Juan",2061,"WCVI South",7,NA
2016,"Kyuquot",1145,"WCVI Nootka & Kyuquot",1,NA
2016,"Clayoquot",1115,"WCVI South",2,NA
2016,"Nootka/Esperanza",45171,"WCVI Nootka & Kyuquot",3,NA
2016,"Quatsino",2004,"WCVI North",4,NA
2016,"Barkley",50251,"WCVI South",5,NA
2016,"Nitinat",12126,"WCVI South",6,NA
2016,"San Juan",899,"WCVI South",7,NA
2017,"Kyuquot",2440,"WCVI Nootka & Kyuquot",1,NA
2017,"Clayoquot",1089,"WCVI South",2,NA
2017,"Nootka/Esperanza",NA,"WCVI Nootka & Kyuquot",3,NA
2017,"Quatsino",5871,"WCVI North",4,NA
2017,"Barkley",NA,"WCVI South",5,NA
2017,"Nitinat",NA,"WCVI South",6,NA
2017,"San Juan",1156,"WCVI South",7,NA
2018,"Kyuquot",1893,"WCVI Nootka & Kyuquot",1,NA
2018,"Clayoquot",814,"WCVI South",2,NA
2018,"Nootka/Esperanza",NA,"WCVI Nootka & Kyuquot",3,NA
2018,"Quatsino",993,"WCVI North",4,NA
2018,"Barkley",NA,"WCVI South",5,NA
2018,"Nitinat",NA,"WCVI South",6,NA
2018,"San Juan",580,"WCVI South",7,NA
2019,"Kyuquot",1693,"WCVI Nootka & Kyuquot",1,NA
2019,"Clayoquot",472,"WCVI South",2,NA
2019,"Nootka/Esperanza",NA,"WCVI Nootka & Kyuquot",3,NA
2019,"Quatsino",5331,"WCVI North",4,NA
2019,"Barkley",NA,"WCVI South",5,NA
2019,"Nitinat",NA,"WCVI South",6,NA
2019,"San Juan",1243,"WCVI South",7,NA
2020,"Kyuquot",1228,"WCVI Nootka & Kyuquot",1,NA
2020,"Clayoquot",589,"WCVI South",2,NA
2020,"Nootka/Esperanza",NA,"WCVI Nootka & Kyuquot",3,NA
2020,"Quatsino",2353,"WCVI North",4,NA
2020,"Barkley",NA,"WCVI South",5,NA
2020,"Nitinat",NA,"WCVI South",6,NA
2020,"San Juan",1000,"WCVI South",7,NA
